Row Labels,Count of Aboard,Count of cn/ln,Count of Aboard Passangers,Count of Aboard Crew,Count of Fatalities,Count of Fatalities Passangers,Count of Fatalities Crew
1/19/1930,1,1,1,1,1,1,1
1/25/1930,1,1,1,1,1,1,1
1/27/1930,1,1,1,1,1,1,1
2/3/1930,1,1,1,1,1,1,1
2/10/1930,1,1,1,1,1,1,1
4/18/1930,1,1,1,1,1,1,1
5/10/1930,1,1,1,1,1,1,1
6/5/1930,1,1,1,1,1,1,1
7/7/1930,1,1,1,1,1,1,1
7/10/1930,1,1,1,1,1,1,1
7/21/1930,1,0,1,1,1,1,1
8/22/1930,1,1,1,1,1,1,1
9/11/1930,1,0,1,1,1,1,1
9/25/1930,1,1,1,1,1,1,1
10/5/1930,1,1,1,1,1,1,1
10/6/1930,1,1,1,1,1,1,1
10/12/1930,1,0,1,1,1,1,1
10/13/1930,1,1,1,1,1,1,1
10/28/1930,1,1,1,1,1,1,1
10/30/1930,2,1,2,2,2,2,2
11/7/1930,1,1,1,1,1,1,1
11/18/1930,1,0,1,1,1,1,1
12/9/1930,1,0,1,1,1,1,1
1/8/1931,1,1,1,1,1,1,1
1/22/1931,1,1,1,1,1,1,1
2/8/1931,1,1,1,1,1,1,1
2/20/1931,1,0,1,1,1,1,1
2/24/1931,1,1,1,1,1,1,1
3/21/1931,1,1,1,1,1,1,1
3/31/1931,1,1,1,1,1,1,1
4/14/1931,1,1,1,1,1,1,1
5/5/1931,1,1,1,1,1,1,1
5/22/1931,1,1,1,1,1,1,1
5/24/1931,1,1,1,1,1,1,1
6/7/1931,1,1,1,1,1,1,1
6/11/1931,1,1,1,1,1,1,1
6/13/1931,1,1,1,1,1,1,1
7/12/1931,1,1,1,1,1,1,1
7/14/1931,1,1,1,1,1,1,1
7/21/1931,1,0,1,1,1,1,1
7/24/1931,1,1,1,1,1,1,1
8/9/1931,1,1,1,1,1,1,1
9/14/1931,1,1,1,1,1,1,1
9/15/1931,1,0,1,1,1,1,1
9/16/1931,1,1,1,1,1,1,1
10/6/1931,1,1,1,1,1,1,1
10/14/1931,1,1,1,1,1,1,1
11/5/1931,1,1,1,1,1,1,1
11/13/1931,1,1,1,1,1,1,1
11/23/1931,1,1,1,1,1,1,1
11/24/1931,1,0,1,1,1,1,1
11/26/1931,1,1,1,1,1,1,1
12/5/1931,1,1,1,1,1,1,1
12/6/1931,1,1,1,1,1,1,1
12/9/1931,1,1,1,1,1,1,1
12/31/1931,1,0,1,1,1,1,1
1/21/1932,1,1,1,1,1,1,1
1/29/1932,1,1,1,1,1,1,1
2/1/1932,1,0,1,1,1,1,1
2/2/1932,2,2,2,2,2,2,2
2/27/1932,1,1,1,1,1,1,1
3/8/1932,1,1,1,1,1,1,1
3/19/1932,1,1,1,1,1,1,1
3/21/1932,1,1,1,1,1,1,1
3/29/1932,1,1,1,1,1,1,1
3/31/1932,1,1,1,1,1,1,1
4/21/1932,1,1,1,1,1,1,1
5/16/1932,1,1,1,1,1,1,1
5/30/1932,1,1,1,1,1,1,1
7/16/1932,1,1,1,1,1,1,1
8/12/1932,1,1,1,1,1,1,1
8/31/1932,1,1,1,1,1,1,1
9/8/1932,1,1,1,1,1,1,1
9/17/1932,1,1,1,1,1,1,1
9/18/1932,1,1,1,1,1,1,1
10/12/1932,1,1,1,1,1,1,1
10/26/1932,1,0,1,1,1,1,1
10/29/1932,1,0,1,1,1,1,1
11/2/1932,1,1,1,1,1,1,1
11/25/1932,1,1,1,1,1,1,1
12/14/1932,2,2,2,2,2,2,2
12/26/1932,1,1,1,1,1,1,1
1/10/1933,1,1,1,1,1,1,1
1/14/1933,1,1,1,1,1,1,1
1/20/1933,2,2,2,2,2,2,2
1/24/1933,1,1,1,1,1,1,1
3/11/1933,1,0,1,1,1,1,1
3/25/1933,1,1,1,1,1,1,1
3/28/1933,1,1,1,1,1,1,1
4/3/1933,1,0,1,1,1,1,1
4/4/1933,1,0,1,1,1,1,1
4/23/1933,1,1,1,1,1,1,1
4/29/1933,1,1,1,1,1,1,1
5/9/1933,1,1,1,1,1,1,1
6/4/1933,1,0,1,1,1,1,1
6/11/1933,1,0,1,1,1,1,1
7/18/1933,1,1,1,1,1,1,1
8/29/1933,1,1,1,1,1,1,1
9/12/1933,1,0,1,1,1,1,1
10/10/1933,1,1,1,1,1,1,1
10/31/1933,1,1,1,1,1,1,1
11/9/1933,1,1,1,1,1,1,1
11/10/1933,1,1,1,1,1,1,1
11/20/1933,1,0,1,1,1,1,1
11/21/1933,1,0,1,1,1,1,1
11/24/1933,1,1,1,1,1,1,1
12/11/1933,1,1,1,1,1,1,1
12/14/1933,1,1,1,1,1,1,1
12/30/1933,1,1,1,1,1,1,1
1/15/1934,1,1,1,1,1,1,1
1/20/1934,1,0,1,1,1,1,1
2/23/1934,1,1,1,1,1,1,1
2/26/1934,1,1,1,1,1,1,1
3/6/1934,1,1,1,1,1,1,1
3/10/1934,1,0,1,1,1,1,1
3/22/1934,1,1,1,1,1,1,1
4/10/1934,1,0,1,1,1,1,1
5/9/1934,1,1,1,1,1,1,1
5/31/1934,1,0,1,1,1,1,1
6/9/1934,1,1,1,1,1,1,1
6/11/1934,1,1,1,1,1,1,1
6/22/1934,1,1,1,1,1,1,1
6/23/1934,1,0,1,1,1,1,1
7/9/1934,1,1,1,1,1,1,1
7/27/1934,1,1,1,1,1,1,1
8/5/1934,1,1,1,1,1,1,1
8/10/1934,1,0,1,1,1,1,1
8/31/1934,1,1,1,1,1,1,1
10/2/1934,1,0,1,1,1,1,1
10/3/1934,1,1,1,1,1,1,1
10/19/1934,1,1,1,1,1,1,1
11/2/1934,1,1,1,1,1,1,1
11/15/1934,2,2,2,2,2,2,2
12/7/1934,1,1,1,1,1,1,1
12/8/1934,1,1,1,1,1,1,1
12/10/1934,1,1,1,1,1,1,1
12/20/1934,1,1,1,1,1,1,1
12/22/1934,1,1,1,1,1,1,1
12/31/1934,1,0,1,1,1,1,1
1/8/1935,1,0,1,1,1,1,1
1/26/1935,1,0,1,1,1,1,1
1/31/1935,1,1,1,1,1,1,1
3/7/1935,1,1,1,1,1,1,1
3/15/1935,1,1,1,1,1,1,1
3/29/1935,1,0,1,1,1,1,1
4/1/1935,1,1,1,1,1,1,1
4/6/1935,1,1,1,1,1,1,1
5/1/1935,1,1,1,1,1,1,1
5/6/1935,1,1,1,1,1,1,1
5/18/1935,2,1,2,2,2,2,2
5/27/1935,1,1,1,1,1,1,1
