,DATE,TOTAL_FATALITIES
564,1939-08-28,2.0
565,1939-08-30,7.0
566,1939-09-26,1.0
567,1939-10-10,5.0
568,1939-11-20,2.0
569,1939-12-18,9.0
570,1939-12-21,5.0
571,1939-12-24,7.0
572,1940-01-22,8.0
573,1940-02-10,10.0
574,1940-02-27,11.0
575,1940-03-01,8.0
576,1940-03-16,14.0
577,1940-04-22,5.0
578,1940-06-02,5.0
579,1940-06-14,9.0
580,1940-06-20,1.0
581,1940-07-07,4.0
582,1940-08-09,2.0
583,1940-08-13,10.0
584,1940-08-22,11.0
585,1940-08-23,15.0
586,1940-08-31,25.0
587,1940-10-22,7.0
588,1940-10-29,9.0
589,1940-10-29,2.0
590,1940-11-04,17.0
591,1940-11-04,10.0
592,1940-11-08,18.0
593,1940-11-08,29.0
594,1940-11-27,6.0
595,1940-12-04,10.0
596,1940-12-24,7.0
597,1941-01-10,16.0
598,1941-01-15,10.0
599,1941-01-17,12.0
600,1941-01-20,5.0
601,1941-01-23,2.0
602,1941-02-06,12.0
603,1941-02-26,9.0
604,1941-03-01,3.0
605,1941-03-28,10.0
606,1941-06-03,6.0
607,1941-06-18,0.0
608,1941-06-21,18.0
609,1941-07-30,5.0
610,1941-08-10,22.0
611,1941-08-14,22.0
612,1941-08-18,8.0
613,1941-08-27,3.0
614,1941-09-01,10.0
615,1941-09-01,15.0
616,1941-10-03,2.0
617,1941-10-28,13.0
618,1941-10-30,14.0
619,1941-10-30,20.0
620,1941-11-29,7.0
621,1941-12-11,3.0
622,1941-12-26,26.0
623,1941-12-29,4.0
624,1942-01-16,22.0
625,1942-01-20,11.0
626,1942-01-26,5.0
627,1942-01-30,13.0
628,1942-02-15,9.0
629,1942-02-19,1.0
630,1942-02-20,9.0
631,1942-02-28,20.0
632,1942-03-03,8.0
633,1942-03-03,20.0
634,1942-03-14,13.0
635,1942-04-21,12.0
636,1942-05-01,17.0
637,1942-05-12,3.0
638,1942-05-19,20.0
639,1942-07-01,21.0
640,1942-07-07,10.0
641,1942-07-20,13.0
642,1942-08-13,4.0
643,1942-08-21,4.0
644,1942-08-22,13.0
645,1942-08-23,14.0
646,1942-09-24,19.0
647,1942-09-27,25.0
648,1942-09-28,15.0
649,1942-10-01,
650,1942-10-01,22.0
651,1942-10-03,11.0
652,1942-10-22,10.0
653,1942-10-22,17.0
654,1942-10-23,12.0
655,1942-10-24,6.0
656,1942-10-30,10.0
657,1942-11-17,20.0
658,1942-12-12,36.0
659,1942-12-15,17.0
660,1942-12-19,2.0
661,1942-12-20,13.0
662,1943-01-09,13.0
663,1943-01-15,35.0
664,1943-01-18,26.0
665,1943-01-21,19.0
666,1943-01-22,14.0
667,1943-02-09,19.0
668,1943-02-18,10.0
669,1943-02-22,25.0
670,1943-03-11,3.0
671,1943-03-13,3.0
672,1943-03-27,24.0
673,1943-04-04,7.0
674,1943-04-22,13.0
675,1943-06-01,17.0
676,1943-06-07,20.0
677,1943-06-08,23.0
678,1943-06-14,40.0
679,1943-06-16,17.0
680,1943-06-30,16.0
681,1943-07-04,12.0
682,1943-07-28,10.0
683,1943-07-28,20.0
684,1943-08-01,10.0
685,1943-08-07,27.0
686,1943-08-11,3.0
687,1943-08-14,17.0
688,1943-08-27,18.0
689,1943-08-27,7.0
690,1943-09-10,22.0
691,1943-09-20,25.0
692,1943-09-22,20.0
693,1943-10-15,15.0
694,1943-10-19,24.0
695,1943-10-22,13.0
696,1943-10-22,20.0
697,1943-11-05,19.0
698,1943-11-08,1.0
699,1943-11-19,2.0
700,1943-11-19,3.0
701,1943-11-26,15.0
702,1943-12-17,10.0
703,1943-12-18,3.0
704,1943-12-19,31.0
705,1943-12-29,25.0
706,1944-01-15,5.0
707,1944-02-10,24.0
708,1944-02-10,14.0
709,1944-02-20,2.0
710,1944-02-21,16.0
711,1944-03-22,21.0
712,1944-04-06,6.0
713,1944-04-17,5.0
714,1944-04-21,9.0
715,1944-04-25,16.0
716,1944-05-26,12.0
717,1944-05-27,14.0
718,1944-06-06,22.0
719,1944-06-06,22.0
720,1944-06-06,22.0
721,1944-06-08,6.0
722,1944-06-18,2.0
723,1944-06-20,10.0
724,1944-07-11,2.0
